"row","col","ID"
13000,7000,259
13000,11000,260
13000,11500,261
13000,12500,262
13500,500,263
13500,3000,264
13500,4000,265
13500,6500,266
13500,7000,267
13500,7500,268
13500,8500,269
13500,9000,270
13500,10500,271
13500,12000,272
14000,3500,273
14000,4000,274
14000,4500,275
14000,8500,276
14000,10500,277
14500,500,278
14500,1000,279
14500,1500,280
14500,3000,281
14500,3500,282
14500,4000,283
14500,6000,284
14500,7000,285
14500,7500,286
14500,10000,287
14500,12000,288
14500,12500,289
14500,12949,290
15000,500,291
15000,1500,292
15000,2000,293
15000,2500,294
15000,4000,295
15000,7500,296
15000,8000,297
15000,8500,298
15000,10500,299
15000,11000,300
15000,11500,301
15000,12000,302
15000,12500,303
15500,2500,304
15500,3000,305
15500,3500,306
15500,4500,307
15500,6500,308
15500,7000,309
15500,8500,310
15500,9500,311
15500,10000,312
15500,12000,313
16000,500,314
16000,1500,315
16000,2500,316
16000,5000,317
16000,6000,318
16000,6500,319
16000,7500,320
16000,8500,321
16000,9000,322
16000,10000,323
16000,11000,324
16000,11500,325
16000,12000,326
16500,500,327
16500,1000,328
16500,1500,329
16500,2500,330
16500,3500,331
16500,4500,332
16500,5500,333
16500,6000,334
16500,7000,335
16500,7500,336
16500,8500,337
16500,9000,338
16500,11000,339
16500,11500,340
17000,1000,341
17000,2000,342
17000,4500,343
17000,5500,344
17000,7000,345
17000,8500,346
17000,10500,347
17000,12500,348
17500,2500,349
17500,3000,350
17500,4500,351
17500,8500,352
17500,9000,353
17500,12000,354
17500,12500,355
17500,12949,356
18000,1000,357
18000,1500,358
18000,4500,359
18000,5500,360
18000,6000,361
18000,7000,362
18000,8000,363
18000,9000,364
18000,9500,365
18000,11000,366
18000,12500,367
18000,12949,368
18500,2500,369
18500,3000,370
18500,4500,371
18500,5000,372
18500,6000,373
18500,6500,374
18500,7500,375
18500,8000,376
18500,8500,377
18500,9000,378
18500,11000,379
18500,12500,380
19000,2500,381
19000,3500,382
19000,4500,383
19000,5000,384
19000,5500,385
19000,6000,386
19000,6500,387
19000,7000,388
19000,8500,389
