"a","b","d","c","rmse_p","h","rmse_b","ID"
0.00010516,1.03018427,0.06864388,12.5604,9.65372859008542,1.9321,6.0894,261
0.00010524,0.22110637,0.00806451,17.0907,11.1761167420999,1.6765,9.8921,262
0.00010526,0.62088907,0.00584997,12.0666,14.5209603135403,1.8417,4.6012,263
0.00010526,0.82899654,0.0364364,18.4385,8.25502554377743,2.6016,8.2389,264
0.00010526,1.095011,0.09405529,18.2784,6.58315663836398,2.5583,9.6198,265
0.00010528,1.15548861,0.06652699,18.4088,6.97475332450158,2.0825,11.0759,266
0.0001053,1.13748658,0.03239464,16.1133,9.41643902680171,2.0253,8.2739,267
0.00010531,0.09372301,0.0297106,13.6551,12.2587641314694,2.3125,4.7862,268
0.00010532,0.55471486,0.00713505,13.6192,13.2810942810806,2.2645,4.6449,269
0.00010537,0.60558152,0.08953229,14.8762,7.57148372507201,2.7247,5.6714,270
0.00010538,0.38242352,0.07818374,13.4131,9.14829933139253,2.0795,6.3742,271
0.0001054,0.70436996,0.00713014,15.3097,11.8939284804877,2.6642,4.9389,272
0.00010543,0.79422754,0.01867945,19.8107,8.65681558684859,1.8052,12.3933,273
0.00010543,1.03531206,0.08615475,18.9055,6.66967895977413,2.9825,8.348,274
0.00010546,0.22138774,0.04958266,18.0479,8.32774955341585,2.0907,10.0432,275
0.00010546,1.09781981,0.05415782,17.2466,7.73979146056044,2.822,6.7852,276
0.00010547,0.61276156,0.03959586,18.2261,8.34653105273157,2.2664,9.3612,277
0.0001055,0.13656269,0.04445747,15.7119,9.8854816347476,2.8604,5.1323,278
0.0001055,0.70869148,0.06808836,13.7391,9.15062836955823,2.1085,6.4096,279
0.00010552,0.96712846,0.09642491,12.0712,8.55819170723504,2.3393,4.7977,280
0.00010554,0.49198374,0.08642928,13.7078,8.43191752368109,2.624,4.9415,281
0.00010554,0.52833831,0.04259177,13.4518,11.0565120878945,2.4412,4.5227,282
0.00010567,0.33218533,0.06108999,18.7324,7.53282976087515,1.6721,12.8209,283
